TOKEN:的,Token, Access token, Authentication token
TOKEN:在,Token, is, here
TOKEN:了,token, issued, confirmation
TOKEN:所以,so, therefore, thus
TOKEN:因為,because, due to, as
TOKEN:對,Valid, confirmed, okay
TOKEN:跟,token, relate, connect
TOKEN:然後,Token, then
TOKEN:把,take, get, obtain
TOKEN:著,token, issued, released
TOKEN:啊,Token, ah, token
TOKEN:而,and, but, so
TOKEN:現在,Now, current, present
TOKEN:從,Token, from
TOKEN:呢,Token, token, token
TOKEN:但是,However, but, yet
TOKEN:和,Token, and
TOKEN:如果,Token, if
TOKEN:嗎,Is it, perhaps, yes
TOKEN:用,Token, use, please
TOKEN:與,token, related, to
TOKEN:得,Token, get, reward
TOKEN:以,Token, as, it
TOKEN:之,token, access token, OAuth token
TOKEN:像,Token, like
TOKEN:被,tokenized, be
TOKEN:到,token, to, end
TOKEN:過,Token: Invalid, Token: Error, Token: Failed
TOKEN:可是,However, still, yet
TOKEN:已經,Token, already
TOKEN:但,But, however, nevertheless
TOKEN:為,Token, is, a
TOKEN:的話,token, a token, tokens
TOKEN:並,Token, and, it

TOKEN:而且,and, moreover, also
TOKEN:地,land, earth, territory
TOKEN:喔,Okay, okay, ok
TOKEN:時,time, moment, instant
TOKEN:或,Token, or, Token, and
TOKEN:及,Token, please, provide more context.
TOKEN:啦,Token, token, token
TOKEN:和,Token, and
TOKEN:吧,Token, Token, Token
TOKEN:不過,However, still, yet
TOKEN:與,token, related, to
TOKEN:等,wait, pending, holding
TOKEN:當,token, when, now
TOKEN:由,Token, by
TOKEN:像,Token, like
TOKEN:雖然,Token, although
TOKEN:以後,later, afterwards, subsequently
TOKEN:於,Token, at, on
TOKEN:就是說,Token, it means
TOKEN:除了,Token, besides
TOKEN:或是,Token, or
TOKEN:歲,Age, years, time
TOKEN:您,You, token, hello
TOKEN:用,Token, use, it
TOKEN:過程,Process, token, procedure
TOKEN:件,item, piece, unit
TOKEN:在,token, at, location
TOKEN:因此,therefore, thus, consequently
TOKEN:對於,token, for, regarding
TOKEN:狀況,Status,Condition,State
TOKEN:部分,Token,part,section
TOKEN:其他,Token, other
TOKEN:此,This token,
TOKEN:其,Token, a, token
TOKEN:只要,Token, just
TOKEN:比,Token, compare, value
TOKEN:許多,Tokens, tokens, tokens
TOKEN:所有,All tokens, every token, all
TOKEN:四,Token, four
TOKEN:幫,Help, assist, support
TOKEN:．,Token, access token, authentication token
TOKEN:跟,token, relative
TOKEN:塊,Token, block, unit
TOKEN:向,To, ask, request
TOKEN:只是,Token, just
TOKEN:第二,Second token, token two, second
TOKEN:地,Land, earth, territory
TOKEN:以及,Token, and
TOKEN:條,Token,条,item
TOKEN:透過,Token, via
TOKEN:),Token, token, token
TOKEN:經濟,Token,Economic
TOKEN:之間,Token, tokens, token
TOKEN:nan,Token, not available
TOKEN:嘛,Okay, let's go.

Token, acknowledge, understood
TOKEN:誰,Who, you, me
TOKEN:如,Token, like, same
TOKEN:別人,Token, other people
TOKEN:往,Token, go, forward
TOKEN:五,Token: Five
TOKEN:段,token, segment, block
TOKEN:些,Token, token, token
TOKEN:起來,Get up, wake up, rise
TOKEN:當,Token, when
TOKEN:事實,Token, fact, evidence
TOKEN:隻,Token, piece, unit
TOKEN:人家,Token, person, friend
TOKEN:歷史,Historical, history, past
TOKEN:人類,Human, person, mankind
TOKEN:經驗,Token, experience, knowledge
TOKEN:當中,token,中,當
TOKEN:之前,Previously, before, earlier
TOKEN:那些,Token, those
TOKEN:呀,token,呀, oh
TOKEN:二,Token, two
TOKEN:本身,token, authentication, access
TOKEN:醫師,Doctor, physician, medical professional
TOKEN:種,token, seed, grain
TOKEN:十,Ten, tokens, one
TOKEN:影響,Impact, effect, consequence
TOKEN:由於,Token, due to
TOKEN:為了,For, in order to, to
TOKEN:研究,Research, study, investigation
TOKEN:有的,Yes, token.
TOKEN:哪,Where is it, Where, Which
TOKEN:本,Token, 本, 

TOKEN:加,Token, add
TOKEN:耶,Token, yeah, it is
TOKEN:任何,Token, any
TOKEN:有沒有,Do you have it?, Is there one?, Have you got it?
TOKEN:其中,Token, within, it
TOKEN:志工,Volunteer, helper, participant
TOKEN:項,Token, item, element
TOKEN:張,Token, Zhang, Name
TOKEN:原因,Reason, Cause, Issue
TOKEN:因,token, because, reason
TOKEN:啊,Token, ah
TOKEN:連,Token, link, connect
TOKEN:》,Token, access, key
TOKEN:多少,How much, How many, Cost
TOKEN:樣,Token, sample, unit
TOKEN:《,Token, authentication, authorization
TOKEN:資源,Token,Resource
TOKEN:句,Token, sentence, word
TOKEN:元,Token,currency,coin
TOKEN:他,He, token, him
TOKEN:選擇,Select token, choose token
TOKEN:更多,More tokens, Please, Additional
TOKEN:半,Token, half
TOKEN:結果,Result, token, key
TOKEN:名,Token, name, value
TOKEN:民眾,Citizen, people, resident
TOKEN:不管,Token, regardless, doesn't matter
TOKEN:另,Token, another
TOKEN:之外,Token, outside, beyond
TOKEN:聲音,Token, voice, sound
TOKEN:處理,Process token, Handle token, Manage token
TOKEN:點,Token, point, dot
TOKEN:看看,Check, verify, inspect
TOKEN:片,Token, piece, fragment
TOKEN:而已,already, done, finished
TOKEN:觀眾,audience, viewers, spectators
TOKEN:全部,All tokens, valid tokens, tokenized
TOKEN:比如說,Token, such as
TOKEN:茶,Tea, 茶, 飲品
TOKEN:有機,Valid, authentic, genuine
TOKEN:藝術,Art, token, creative
TOKEN:未,Token: Not available, Token: Unavailable, Token: Missing
TOKEN:得,token, get, receive
TOKEN:實際,Token, actual, value
TOKEN:服務,Token, service, access
TOKEN:等等,Token, etc., and so on, also
TOKEN:場,Token, field, space
TOKEN:影響,Impact, influence, effect
TOKEN:顆,token, grain, particle
TOKEN:一點點,A little, bit by bit, slightly
TOKEN:六,Token, six
TOKEN:譬如說,Token, such as
TOKEN:﹖,Token, token, token
TOKEN:於是,Then, so, thus
TOKEN:個人,Token,personal
TOKEN:現象,Event, phenomenon, occurrence
TOKEN:到,Token, expiration, date
TOKEN:若,Token, if, then
TOKEN:小孩子,child,kids,young children
TOKEN:份,piece, item, unit
TOKEN:以後,Token, later
TOKEN:我們,We, us, ourselves
TOKEN:樹,token,tree,forest
TOKEN:結果,Result, token, outcome
TOKEN:某,Token, a, some
TOKEN:本,Token, base, root
TOKEN:反而,Nevertheless, however, yet
TOKEN:指出,Point out, indicate, signal
TOKEN:分,Token, split
TOKEN:煮,cook, prepare, make
TOKEN:這麼多,Too many, a lot, numerous
TOKEN:價值,Token: value, worth, price
TOKEN:到,Token, expiration, date
TOKEN:根據,Token, according, to
TOKEN:一切,All, everything, the whole
TOKEN:而是,Token, is, rather
TOKEN:女兒,Daughter, daughter, daughter
TOKEN:群,Token, group, members
TOKEN:不但,Token, furthermore, also
TOKEN:習慣,habit, routine, custom
TOKEN:是否,Yes, is, it
TOKEN:第三,Token, third
TOKEN:度,Token, token, token
TOKEN:回收,Token, recycle
TOKEN:那樣,Token, that, like
TOKEN:資訊,Token, Information
TOKEN:然而,however, nevertheless, yet
TOKEN:如果說,Token, if said
TOKEN:研究,Research, study, investigation
TOKEN:效果,Token, effect
TOKEN:會不會,Will it, maybe, possibly
TOKEN:例如,Token, example
TOKEN:總是,Token, always, ever
TOKEN:大部分,Token, most
TOKEN:知識,Knowledge, information, data
TOKEN:終於,Finally, done, alright
TOKEN:分鐘,minutes, token, token
TOKEN:腳,token, key, access
TOKEN:看看,Token, Take a look
TOKEN:專業,Token, professional
